Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
06.01.2015,Heilbronn,Sontheim,Mauerstraße,Einkaufsmöglichkeit,,X,"Am frühen Dienstagmorgen gegen 00.40 Uhr wurde in einem Getränkemarkt in der Mauerstraße ein Einbruchalarm ausgelöst. Der durch eine Sicherheitsfirma verständigte Marktleiter stellte im Rahmen einer Nachschau eine offen stehende Türe des Leergutlagers sowie eine flüchtig gehende Person fest und verständige daher die Polizei. Im Zuge der sofort eingeleiteten Fahndung konnten die vier Täter im Alter zwischen 16 und 18 Jahren von Beamten des Polizeirevier Heilbronn in der Kreuzäckerstraße festgenommen werden. Die festgenommenen Personen führten eine mit entwendeten Gegenständen gefüllte Kunststoffbox mit. Wie sich anschließend herausstellte waren zwei der genannten Personen in den Leergutbereich des Getränkemarktes eingestiegen. Im Markt entwendeten sie schließlich Alkohol, Engerydrinks, Schreibwaren sowie bereits zur Abholung bereitgestellte Pakete eines ebenfalls im Getränkemarkt befindlichen Paketshops im Gesamtwert von etwa 1.000 - 2.000 EURO. In den Verkaufsraum des Marktes waren die Täter jedoch nicht gelangt. Nach Abschluss der strafprozessualen Maßnahmen wurden die Tatverdächtigen ihren Eltern überstellt."
05.01.2015,Heilbronn,,Im Kohlpfad,,,,"Bislang unbekannte Täter stiegen am vergangenen Montag in der Zeit zwischen 15.00 und 18.00 Uhr nach Aufbrechen eines Küchenfensters in ein Wohnhaus In der Straße ""Im Kohlpfad"" ein. In den Schlafzimmern und der Garderobe öffneten die Täter sämtliche Schränke und Schubladen. Aus einer vorgefundenen Geldkassette entwendeten die Täter einen Bargeldbetrag in bislang nicht bekannter Höhe. Verschiedene Zimmer blieben offensichtlich unberührt, weshalb davon auszugehen ist, dass die Täter bei der Tatausführung gestört wurden."
06.01.2015,Ingelfingen,,Christian-Bürkert-Straße,Firmengebäude,X,,"Mit der Aufklärung eines Einbruchsversuchs in die Räumlichkeiten einer Ingelfinger Firma befasst sich derzeit die Künzelsauer Polizei. Zwischen Montag, 11 Uhr, und Dienstag, 10 Uhr, versuchte ein bislang Unbekannter ein Fenster des in der Christian-Bürkert-Straße gelegenen Gebäudes aufzubrechen. Da er vermutlich dabei gestört wurde, gelangte er nicht ins Innere des Fahrzeugaufbereitungsbetriebs. Möglicherweise haben Zeugen etwas Verdächtiges beobachtet. Diese sollten sich bei der Polizei unter Telefon 07940 940-0 melden."
06.01.2015,Pfedelbach,,Richard-Strauss-Straße,,,,"Auf ein Wohnhaus in Pfedelbach hatten es bislang unbekannte Einbrecher zwischen Sonntag und Dienstag abgesehen. Nachdem sie eine Tür aufgebrochen hatten, gelangten die Täter ins Innere des Hauses in der Richard-Strauss-Straße. Dort durchstöbertern sie sämtliches Inventar nach möglichem Diebesgut. Dabei fiel ihnen Bargeld in die Hände. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich bei der Öhringer Polizei unter Telefon 07941 930-0 melden."
07.01.2015,Abstatt,,Schillerstraße,,,,"Kleidungsstücke, eine Puls-Uhr und etwas Bargeld war die Beute von Unbekannten, die in der Zeit zwischen Dienstag- und Mittwochabend in der Abstatter Schillerstraße in ein Wohnhaus einbrachen. Die Täter wuchteten ein Toilettenfenster auf gelangten durch dieses ins Gebäude. Im Innern durchwühlten sie Schränke und Schubladen. Sie verließen das Haus wieder durch ein Badfenster. Hinweise auf die Einbrecher hat die Polizei keine."
07.01.2015,Flein,,Paul-Fähnle-Straße,,,,"In Flein nutzten Unbekannte die Abwesenheit der Bewohner eines Hauses in der Paul-Fähnle-Straße am Mittwoch. In der Zeit zwischen 16:45 Uhr und 18:50 Uhr hebelten sie eine Terrassentüre auf und durchsuchten seltsamerweise nicht die Schränke im Wohnzimmer sondern im Bad. Anhand von Wuchtspuren war erkennbar, dass sie versuchten, einen Tresor gewaltsam zu öffnen. Dies misslang, sie mussten sich mit etwas Schmuck als Beute zufrieden geben. Die Polizei vermutet, dass die Täter vom nach Hause kommenden Eigentümer gestört wurden und flüchteten. Die Ermittler hoffen, dass jemand am Mittwoch in der Zeit kurz vor 19 Uhr Verdächtige in der Paul-Fähnle-Straße gesehen hat."
06.01.2015,Eberstadt,,,Firmengebäude,,,Mehrere Einbrüche in Eberstadt bearbeitet derzeit die Polizei. In der Zeit zwischen dem 2. und dem 6. Januar stahlen Unbekannte im neuen Industriegebiet Im Steg von den Arealen zweier Firmen insgesamt elf leere Gitterboxen. Aufgrund der Größe der Boxen müssen die Täter sicherlich ein größeres Fahrzeug oder einen Anhänger zum Abtransport benutzt haben.
06.01.2015,Eberstadt,,Im Weidengrund 26,Kindergarten,,,"Zwischen dem vergangenen Montag und Mittwoch brachen Langfinger ein Fenster am Gebäude des Eberstädter Kindergartens Weidengrund auf. Gestohlen wurde offensichtlich nichts, der Sachschaden am Fenster wird auf 200 Euro geschätzt. Vermutlich dieselben Täter stiegen auch in die Grundschule in der Lennacher Straße ein. Um ins Gebäudeinnere zu gelangen brachen sie ein Klassenzimmerfenster auf. Außerdem wurden die Türen zum Sekretariat und zum Lehrerzimmer aufgehebelt. Der Sachschaden wird auf über 2.500 Euro geschätzt, die Beute beschränkte sich auf einige wenige Euro Bargeld."
07.01.2015,Heilbronn,,Innsbrucker Straße,Kindergarten,,,"Eine kleinere Summe Bargeld erbeuteten Unbekannte, die in der Zeit zwischen dem 19. Dezember und dem 7. Januar in den Evangelischen Rosenau-Kindergarten in der Innsbrucker Straße in Heilbronn einbrachen. Die Täter überstiegen die Umzäunung des Gartens und wuchteten ein Fenster zu einem Gruppenraum auf. Im Büro versuchten sie, die sechs Wertfächer aufzuhebeln. Es gelang ihnen jedoch nur bei einem und dieses war ohne Inhalt. Der entstandene Sachschaden wird auf mehrere Hundert Euro geschätzt."
08.01.2015,Buchen,,Karl-Tschamber-Straße,Firmengebäude,,,"Ohne Beute musste sich ein derzeit noch unbekannter Einbrecher in der Nacht zum Donnerstag in Buchen aus dem Staub machen. Nachdem er gegen 00:30 Uhr vergeblich versucht hatte, ein Fenster an einem Bürogebäude in der Karl-Tschamber-Straße aufzubrechen, schlug er die Glasscheibe ein und gelangte so in die Räumlichkeiten. Dort durchstöberte er verschiedenes Inventar nach möglichem Diebesgut. Da er vermutlich nichts Stehlenswertes vor fand führte ihn sein Weg weiter in einen alarmgesicherten Bereich. Nachdem der Alarm auslöste flüchtete der Täter aus dem Gebäude und rannte nach derzeitigem Erkenntnisstand in Richtung Bödigheimer Straße, über das Schulgelände in Richtung Feuerwehr davon. Zeugen, die etwas Verdächtiges beobachtet haben oder weitere sachdienliche Hinweise geben können, sollten sich mit der Buchener Polizei unter Telefon 06281 904-0 in Verbindung setzen."
